City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,ensley,30.52,-87.27,80.6,36,1,18.34,US,1585693024
335,dubuque,42.48,-90.87,46.0,61,90,13.87,US,1585693025
336,san roque,36.21,-5.38,60.8,87,80,9.17,ES,1585693025
337,chabahar,25.29,60.64,72.64,70,0,9.98,IR,1585693025
338,talnakh,69.49,88.4,10.4,92,75,20.13,RU,1585692816
339,dinghai,26.28,119.79,57.2,100,90,8.95,CN,1585693026
340,preobrazheniye,42.9,133.91,39.06,85,96,6.73,RU,1585693026
341,luwuk,-0.95,122.79,80.56,71,99,3.71,ID,1585693026
342,ambilobe,-13.2,49.05,76.64,89,71,1.99,MG,1585693027
343,novikovo,51.15,37.89,29.7,86,16,10.49,RU,1585693027
344,aksarka,66.56,67.8,8.35,92,11,9.01,RU,1585693027
345,jurm,36.86,70.83,45.54,30,100,4.65,AF,1585693027
346,senanga,-16.12,23.27,69.87,66,99,2.86,ZM,1585693028
347,cheney,47.49,-117.58,44.6,60,90,12.75,US,1585693028
348,sao filipe,14.9,-24.5,74.41,78,79,13.4,CV,1585693028
349,bahia blanca,-38.72,-62.27,68.0,72,90,14.99,AR,1585693028
350,kushmurun,52.45,64.63,27.01,91,99,8.66,KZ,1585693029
351,coromandel,-18.47,-47.2,71.71,67,5,2.53,BR,1585693029
352,colgong,25.27,87.22,76.55,22,0,2.39,IN,1585693029
353,port augusta,-32.5,137.77,66.0,82,90,4.7,AU,1585693029
354,macklin,52.33,-109.93,13.42,87,100,15.12,CA,1585692797
355,lucea,18.45,-78.17,82.4,69,40,4.7,JM,1585693030
356,luderitz,-26.65,15.16,64.4,63,0,11.41,NA,1585693030
357,cochrane,51.18,-114.47,19.99,66,90,6.93,CA,1585692815
358,haicheng,40.85,122.75,38.37,56,5,10.27,CN,1585693031
359,ribeira grande,38.52,-28.7,57.18,67,95,28.79,PT,1585693031
360,goya,-29.14,-59.26,77.47,72,99,3.56,AR,1585693031
361,oistins,13.07,-59.53,80.6,57,20,14.99,BB,1585693031
362,bani,18.28,-70.33,82.0,68,0,1.99,DO,1585693031
363,yeppoon,-23.13,150.73,73.4,83,4,8.05,AU,1585693032
364,ossora,59.24,163.07,12.85,91,0,6.91,RU,1585693032
365,irbeyskoye,55.64,95.45,34.72,77,90,7.52,RU,1585693032
366,praia da vitoria,38.73,-27.07,57.2,71,75,24.32,PT,1585693032
367,tamiahua,21.27,-97.45,82.44,70,12,9.89,MX,1585693032
368,yumen,40.28,97.2,32.72,46,40,16.22,CN,1585693033
369,chincha alta,-13.41,-76.13,71.6,30,75,5.82,PE,1585693033
370,foix,42.83,1.58,46.99,88,100,3.09,FR,1585693033
371,belmonte,-15.86,-38.88,80.6,74,20,8.05,BR,1585693033
372,te anau,-45.42,167.72,52.2,65,28,0.74,NZ,1585693033
373,hatten,53.02,8.35,34.0,80,0,3.36,DE,1585693034
374,isabela,6.71,121.97,77.0,94,75,2.24,PH,1585693034
375,muroto,33.28,134.15,57.2,100,75,5.82,JP,1585693035
376,north las vegas,36.2,-115.12,75.0,21,1,4.7,US,1585692959
377,hereford,52.06,-2.71,44.01,69,17,1.01,GB,1585692931
378,butembo,0.15,29.28,60.15,57,90,2.35,CD,1585693035
379,yarada,17.65,83.27,81.46,75,0,8.75,IN,1585693036
380,huarmey,-10.07,-78.15,79.38,61,53,8.55,PE,1585693036
381,skjervoy,70.03,20.97,29.62,95,100,21.72,NO,1585693036
